"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Islas Vírgenes de los Estados Unidos","850","VIR","","","x","Developing"
"001","Mundo","019","Américas","021","América septentrional","","","Bermuda","060","BMU","","","","Developed"
"001","Mundo","019","Américas","021","América septentrional","","","Canadá","124","CAN","","","","Developed"
"001","Mundo","019","Américas","021","América septentrional","","","Estados Unidos de América","840","USA","","","","Developed"
"001","Mundo","019","Américas","021","América septentrional","","","Groenlandia","304","GRL","","","","Developed"
"001","Mundo","019","Américas","021","América septentrional","","","Saint Pierre y Miquelon","666","SPM","","","","Developed"
"001","Mundo","","","","","","","Antártida","010","ATA","","","",""
"001","Mundo","142","Asia","143","Asia central","","","Kazajstán","398","KAZ","","x","","Developing"
"001","Mundo","142","Asia","143","Asia central","","","Kirguistán","417","KGZ","","x","","Developing"
"001","Mundo","142","Asia","143","Asia central","","","Tayikistán","762","TJK","","x","","Developing"
"001","Mundo","142","Asia","143","Asia central","","","Turkmenistán","795","TKM","","x","","Developing"
"001","Mundo","142","Asia","143","Asia central","","","Uzbekistán","860","UZB","","x","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Afganistán","004","AFG","x","x","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Bangladesh","050","BGD","x","","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Bhután","064","BTN","x","x","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","India","356","IND","","","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Irán (República Islámica del)","364","IRN","","","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Maldivas","462","MDV","","","x","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Nepal","524","NPL","x","x","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Pakistán","586","PAK","","","","Developing"
"001","Mundo","142","Asia","034","Asia meridional","","","Sri Lanka","144","LKA","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Arabia Saudita","682","SAU","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Armenia","051","ARM","","x","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Azerbaiyán","031","AZE","","x","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Bahrein","048","BHR","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Chipre","196","CYP","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Emiratos Árabes Unidos","784","ARE","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Estado de Palestina","275","PSE","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Georgia","268","GEO","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Iraq","368","IRQ","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Israel","376","ISR","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Jordania","400","JOR","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Kuwait","414","KWT","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Líbano","422","LBN","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Omán","512","OMN","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Qatar","634","QAT","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","República Árabe Siria","760","SYR","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Turquía","792","TUR","","","","Developing"
"001","Mundo","142","Asia","145","Asia occidental","","","Yemen","887","YEM","x","","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","China","156","CHN","","","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","China, región administrativa especial de Hong Kong","344","HKG","","","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","China, región administrativa especial de Macao","446","MAC","","","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","Japón","392","JPN","","","","Developed"
"001","Mundo","142","Asia","030","Asia oriental","","","Mongolia","496","MNG","","x","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","República de Corea","410","KOR","","","","Developing"
"001","Mundo","142","Asia","030","Asia oriental","","","República Popular Democrática de Corea","408","PRK","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Brunei Darussalam","096","BRN","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Camboya","116","KHM","x","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Filipinas","608","PHL","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Indonesia","360","IDN","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Malasia","458","MYS","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Myanmar","104","MMR","x","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","República Democrática Popular Lao","418","LAO","x","x","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Singapur","702","SGP","","","x","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Tailandia","764","THA","","","","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Timor-Leste","626","TLS","x","","x","Developing"
"001","Mundo","142","Asia","035","Asia sudoriental","","","Viet Nam","704","VNM","","","","Developing"
"001","Mundo","150","Europa","039","Europa meridional","","","Albania","008","ALB","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","Andorra","020","AND","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","Bosnia y Herzegovina","070","BIH","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","Croacia","191","HRV","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","Eslovenia","705","SVN","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","España","724","ESP","","","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","ex República Yugoslava de Macedonia","807","MKD","","x","","Developed"
"001","Mundo","150","Europa","039","Europa meridional","","","Gibraltar","292","GIB","","","","Developed"
